
"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.525479100E-2,2.467900753E0,1.015554905E1,-1.296227425E-1
2.763223900E-2,2.467900753E0,1.015554905E1,-1.296227425E-1
3.005822900E-2,2.448782921E0,1.011763000E1,-1.871238053E-1
3.248421800E-2,2.462750435E0,1.006494427E1,-2.305397093E-1
3.491020800E-2,2.424469948E0,1.000769615E1,-2.496957779E-1
3.733619700E-2,2.419300079E0,9.935773849E0,-2.691310048E-1
3.976218700E-2,2.366717339E0,9.873670578E0,-2.642746568E-1
4.218817600E-2,2.323506355E0,9.792301178E0,-2.643519342E-1
4.461416600E-2,2.261434078E0,9.720880508E0,-2.929924726E-1
4.704015600E-2,2.208840132E0,9.649353981E0,-3.169066310E-1
4.946614500E-2,2.142097235E0,9.582935333E0,-3.694359362E-1
5.189213500E-2,2.094422102E0,9.540175438E0,-3.884674907E-1
5.431812400E-2,2.060987711E0,9.506727219E0,-3.788212240E-1
5.674411400E-2,2.032268763E0,9.477826118E0,-3.356681466E-1
5.917010400E-2,2.003697157E0,9.468242645E0,-3.067957461E-1
6.159609300E-2,1.998777866E0,9.467611313E0,-2.062143087E-1
6.402208300E-2,2.022356749E0,9.485667229E0,-5.785347149E-2
6.644807200E-2,2.045985937E0,9.503911972E0,6.177863851E-2
6.887406200E-2,2.079096556E0,9.517374992E0,1.669636518E-1
7.130005100E-2,2.121846676E0,9.540725708E0,2.194593102E-1
7.372604100E-2,2.174061298E0,9.559229851E0,2.670841217E-1
7.615203100E-2,2.216692209E0,9.558678627E0,3.003227711E-1
7.857802000E-2,2.259336472E0,9.562870026E0,3.431585431E-1
8.100401000E-2,2.306794167E0,9.576669693E0,3.812170923E-1
8.342999900E-2,2.377923489E0,9.580738068E0,4.095030427E-1
8.585598900E-2,2.396985769E0,9.599687576E0,4.286155403E-1
8.828197900E-2,2.397074699E0,9.618782043E0,4.478516579E-1
9.070796800E-2,2.392462254E0,9.638072968E0,4.431780875E-1
9.313395800E-2,2.383213282E0,9.676559448E0,4.481953084E-1
9.555994700E-2,2.388201952E0,9.714968681E0,4.483316839E-1
9.798593700E-2,2.383628607E0,9.739097595E0,4.388908744E-1
1.004119260E-1,2.393224001E0,9.753504753E0,4.293155670E-1
1.028379160E-1,2.355305672E0,9.763280869E0,4.487571716E-1
1.052639060E-1,2.298442602E0,9.768618584E0,4.347846508E-1
1.076898950E-1,2.208261967E0,9.755021095E0,4.161567986E-1
1.101158850E-1,2.103787422E0,9.736599922E0,4.167532623E-1
1.125418740E-1,2.046606302E0,9.698529243E0,4.265331030E-1
1.149678640E-1,1.994168162E0,9.660421371E0,4.362821281E-1
1.173938540E-1,1.960644245E0,9.636012077E0,5.321564078E-1
1.198198430E-1,1.894129515E0,9.636109352E0,5.948346853E-1
1.222458330E-1,1.851244569E0,9.626318932E0,6.716810465E-1
1.246718220E-1,1.794135332E0,9.621343613E0,7.630053759E-1
1.270978120E-1,1.760784507E0,9.616349220E0,8.302345872E-1
1.295238010E-1,1.722768307E0,9.621065140E0,8.879602551E-1
1.319497910E-1,1.708535671E0,9.625853539E0,9.072263837E-1
1.343757810E-1,1.717762589E0,9.596659660E0,9.501321912E-1
1.368017700E-1,1.717849255E0,9.606366158E0,9.358096123E-1
1.392277600E-1,1.750982523E0,9.582401276E0,8.876075149E-1
1.416537490E-1,1.769944668E0,9.572834015E0,8.587132692E-1
1.440797390E-1,1.788691878E0,9.529629707E0,8.296726942E-1
1.465057290E-1,1.812118173E0,9.481453896E0,8.197327852E-1
1.489317180E-1,1.826113701E0,9.438251495E0,7.955112457E-1
1.513577080E-1,1.830561399E0,9.385512352E0,7.713097930E-1
1.537836970E-1,1.796993375E0,9.323419571E0,7.521018386E-1
1.562096870E-1,1.792004704E0,9.285009384E0,7.519654632E-1
1.586356760E-1,1.772911429E0,9.275321960E0,7.855641246E-1
1.610616660E-1,1.758483648E0,9.255923271E0,8.286663294E-1
1.634876560E-1,1.782110572E0,9.250712395E0,8.620076776E-1
1.659136450E-1,1.820207119E0,9.279128075E0,8.810383081E-1
1.683396350E-1,1.848808765E0,9.307583809E0,9.049189091E-1
1.707656240E-1,1.905953765E0,9.350207329E0,9.334648252E-1
1.731916140E-1,1.967833400E0,9.392762184E0,9.667680860E-1
1.756176040E-1,2.024967432E0,9.425964355E0,9.665434957E-1
1.780435930E-1,2.124798775E0,9.458869934E0,9.612525702E-1
1.804695830E-1,2.220146894E0,9.520934105E0,9.130249023E-1
1.828955720E-1,2.334124804E0,9.525279045E0,8.500583172E-1
1.853215620E-1,2.462404966E0,9.548545837E0,8.158113956E-1
1.877475510E-1,2.566952229E0,9.571930885E0,7.912952900E-1
1.901735410E-1,2.614440441E0,9.576467514E0,7.766427398E-1
1.925995310E-1,2.624111176E0,9.591160774E0,7.239742279E-1
1.950255200E-1,2.605392694E0,9.601648331E0,6.140130162E-1
1.974515100E-1,2.615247726E0,9.631110191E0,5.087379813E-1
1.998774990E-1,2.639237404E0,9.650723457E0,4.224808514E-1
2.023034890E-1,2.648997784E0,9.670443535E0,3.363165259E-1
2.047294790E-1,2.658549070E0,9.661236763E0,2.643910646E-1
2.071554680E-1,2.672940731E0,9.671119690E0,2.068827003E-1
2.095814580E-1,2.692042112E0,9.680840492E0,1.684958935E-1
2.120074470E-1,2.682631016E0,9.695266724E0,1.781966835E-1
2.144334370E-1,2.654282808E0,9.719353676E0,2.024273276E-1
2.168594260E-1,2.640217066E0,9.766980171E0,2.841272056E-1
2.192854160E-1,2.635621548E0,9.814469337E0,3.753415048E-1
2.217114060E-1,2.711755753E0,9.871077538E0,4.469196498E-1
2.241373950E-1,2.811852217E0,9.951881409E0,4.657784402E-1
2.265633850E-1,2.978332281E0,1.001333427E1,4.266633689E-1
2.289893740E-1,3.121246815E0,1.008960819E1,3.542487621E-1
2.314153640E-1,3.268608809E0,1.012720966E1,3.103646338E-1
2.338413540E-1,3.378002405E0,1.016032982E1,2.619188130E-1
2.362673430E-1,3.420579910E0,1.015019894E1,2.903274894E-1
2.386933330E-1,3.448796749E0,1.012092304E1,3.235334158E-1
2.411193220E-1,3.496045351E0,1.010579300E1,3.758308589E-1
2.435453120E-1,3.467256308E0,1.006724834E1,4.237302840E-1
2.459713010E-1,3.462228537E0,1.003806973E1,4.810931981E-1
2.483972910E-1,3.419019699E0,9.980156898E0,5.673066378E-1
2.508232810E-1,3.375744343E0,9.907923698E0,6.390930414E-1
2.532492700E-1,3.389678240E0,9.869176865E0,6.675616503E-1
2.556752600E-1,3.412995577E0,9.820589066E0,7.198673487E-1
2.581012490E-1,3.426907301E0,9.791135788E0,7.962591648E-1
2.605272390E-1,3.469202995E0,9.747112274E0,8.628264070E-1
2.629532290E-1,3.487827301E0,9.712818146E0,9.391663671E-1
2.653792180E-1,3.515937805E0,9.678450584E0,1.015444398E0
2.678052080E-1,3.520348787E0,9.630262375E0,1.029568791E0
2.702311970E-1,3.501314640E0,9.606729507E0,9.769185781E-1
2.726571870E-1,3.435076952E0,9.607874870E0,8.815888762E-1
2.750831760E-1,3.382941008E0,9.570912361E0,7.189654708E-1
2.775091660E-1,3.321248531E0,9.510309219E0,5.084182620E-1
2.799351560E-1,3.236013174E0,9.483371735E0,3.221125305E-1
2.823611450E-1,3.145632505E0,9.398674011E0,1.547392458E-1
2.847871350E-1,3.088437796E0,9.341794014E0,1.021899581E-1
2.872131240E-1,3.021493673E0,9.260544777E0,1.118435040E-1
2.896391140E-1,2.983129025E0,9.217044830E0,1.933006793E-1
2.920651040E-1,2.958929777E0,9.168502808E0,2.937966883E-1
2.944910930E-1,2.920561790E0,9.143748283E0,4.471592903E-1
2.969170830E-1,2.953244925E0,9.113387108E0,6.383423209E-1
2.993430720E-1,2.990760565E0,9.102085114E0,8.487305045E-1
3.017690620E-1,3.085267782E0,9.109378815E0,1.087560177E0
3.041950510E-1,3.203569412E0,9.112096786E0,1.263968706E0
3.066210410E-1,3.364853859E0,9.143734932E0,1.377979040E0
3.090470310E-1,3.530934334E0,9.170848846E0,1.444056153E0
3.114730200E-1,3.753993273E0,9.197747231E0,1.476245642E0
3.138990100E-1,3.986502409E0,9.200988770E0,1.441234946E0
3.163249990E-1,4.204714775E0,9.190019608E0,1.391889930E0
3.187509890E-1,4.399118900E0,9.164814949E0,1.342636704E0
3.211769790E-1,4.536291599E0,9.101346970E0,1.331892252E0
3.236029680E-1,4.550069809E0,9.029183388E0,1.326697588E0
3.260289580E-1,4.454741478E0,8.948439598E0,1.293443561E0
3.284549470E-1,4.326682091E0,8.921319962E0,1.184026003E0
3.308809370E-1,4.170286179E0,8.913641930E0,1.074877501E0
3.333069260E-1,4.009225368E0,8.915676117E0,9.562254548E-1
3.357329160E-1,3.843431950E0,8.913101196E0,8.136429191E-1
3.381589060E-1,3.663436890E0,8.920116425E0,6.903473139E-1
3.405848950E-1,3.483285666E0,8.907784462E0,5.861206055E-1
3.430108850E-1,3.302801847E0,8.875434875E0,6.015132070E-1
3.454368740E-1,3.131684303E0,8.833177567E0,6.503191590E-1
3.478628640E-1,2.950960159E0,8.795227051E0,7.853938937E-1
3.502888540E-1,2.926734924E0,8.788792610E0,1.058450580E0
3.527148430E-1,3.086667061E0,8.735586166E0,1.646129370E0
3.551408330E-1,2.939443350E0,8.637543678E0,1.383301735E0
3.575668220E-1,2.592963457E0,8.536195755E0,1.126539946E0
3.599928120E-1,2.350840330E0,8.466892242E0,9.889471531E-1
3.624188010E-1,2.156037807E0,8.401488304E0,9.324644208E-1
3.648447910E-1,1.999089360E0,8.321376801E0,8.756715655E-1
3.672707810E-1,1.785288572E0,8.256022453E0,8.336768746E-1
3.696967700E-1,1.623473644E0,8.184860229E0,8.822954893E-1
3.721227600E-1,1.546869755E0,8.112403870E0,1.026120067E0
3.745487490E-1,1.513024330E0,8.077398300E0,1.270384312E0
3.769747390E-1,1.598218203E0,8.090109825E0,1.427898526E0
3.794007290E-1,1.745211482E0,8.098178864E0,1.489227653E0
3.818267180E-1,1.921097159E0,8.154561996E0,1.478758574E0
3.842527080E-1,2.120601177E0,8.205701828E0,1.506419063E0
3.866786970E-1,2.339211702E0,8.299407959E0,1.615542054E0
3.891046870E-1,2.585826635E0,8.353656769E0,1.844015360E0
3.915306760E-1,2.927326202E0,8.416626930E0,2.095852613E0
3.939566660E-1,3.283095121E0,8.470256805E0,2.290097952E0
3.963826560E-1,3.629313469E0,8.490893364E0,2.398072958E0
3.988086450E-1,3.985395670E0,8.526954651E0,2.343252420E0
4.012346350E-1,4.284678936E0,8.559220314E0,2.202595472E0
4.036606240E-1,4.508358002E0,8.616605759E0,1.985928297E0
4.060866140E-1,4.698607922E0,8.631186485E0,1.740560412E0
4.085126040E-1,4.808229446E0,8.637028694E0,1.457371235E0
