"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.543171200E-2,-3.199107945E-1,-2.639362574E0,9.334764481E0
2.785770100E-2,-3.342383802E-1,-2.644313335E0,9.373140335E0
3.028369100E-2,-3.485491872E-1,-2.649200201E0,9.401941299E0
3.270968000E-2,-4.007782042E-1,-2.644311666E0,9.450183868E0
3.513567000E-2,-3.961243629E-1,-2.649375916E0,9.483649254E0
3.756165900E-2,-4.152481258E-1,-2.663870096E0,9.517226219E0
3.998764900E-2,-4.341962934E-1,-2.649561167E0,9.555718422E0
4.241363900E-2,-4.484316111E-1,-2.654162407E0,9.541424751E0
4.483962800E-2,-4.624966979E-1,-2.634671211E0,9.517661095E0
4.726561800E-2,-4.480883777E-1,-2.610657454E0,9.503307343E0
4.969160700E-2,-4.146511257E-1,-2.581887484E0,9.474488258E0
5.211759700E-2,-4.051310420E-1,-2.581833124E0,9.455273628E0
5.454358700E-2,-3.858734965E-1,-2.538696051E0,9.450551033E0
5.696957600E-2,-3.384380341E-1,-2.543738842E0,9.431067467E0
5.939556600E-2,-3.050149679E-1,-2.505643845E0,9.445383072E0
6.182155500E-2,-2.764746249E-1,-2.486798763E0,9.469222069E0
6.424754500E-2,-2.669797242E-1,-2.486840010E0,9.464372635E0
6.667353400E-2,-2.527835071E-1,-2.487076521E0,9.483432770E0
6.909952400E-2,-2.529090941E-1,-2.501620770E0,9.502521515E0
7.152551400E-2,-2.672308981E-1,-2.515928507E0,9.502551079E0
7.395150300E-2,-2.911619544E-1,-2.549386024E0,9.502559662E0
7.637749300E-2,-3.103219569E-1,-2.573395729E0,9.521731377E0
7.880348200E-2,-3.484799266E-1,-2.611422777E0,9.502658844E0
8.122947200E-2,-3.866184056E-1,-2.639996767E0,9.507569313E0
8.365546200E-2,-4.009931982E-1,-2.663884163E0,9.502768517E0
8.608145100E-2,-4.343384206E-1,-2.678236723E0,9.531652451E0
8.850744100E-2,-4.580993056E-1,-2.687602043E0,9.522188187E0
9.093343000E-2,-4.724434316E-1,-2.706683636E0,9.517409325E0
9.335942000E-2,-4.771001637E-1,-2.696940660E0,9.503116608E0
9.578540900E-2,-4.959281385E-1,-2.672798157E0,9.508133888E0
9.821139900E-2,-4.909783304E-1,-2.653294086E0,9.460305214E0
1.006373890E-1,-4.624154568E-1,-2.643742323E0,9.436221123E0
1.030633780E-1,-4.385009110E-1,-2.624416113E0,9.393057823E0
1.054893680E-1,-4.241539538E-1,-2.610013008E0,9.378662109E0
1.079153570E-1,-3.861661255E-1,-2.596077919E0,9.407206535E0
1.103413470E-1,-3.623940647E-1,-2.591359138E0,9.392708778E0
1.127673370E-1,-3.480583429E-1,-2.572309494E0,9.402276039E0
1.151933260E-1,-3.385940492E-1,-2.577156067E0,9.397404671E0
1.176193160E-1,-3.385885358E-1,-2.572445869E0,9.411790848E0
1.200453050E-1,-3.481839299E-1,-2.586853743E0,9.421365738E0
1.224712950E-1,-3.625225127E-1,-2.601225138E0,9.430971146E0
1.248972840E-1,-3.531728089E-1,-2.611195564E0,9.473960876E0
1.273232740E-1,-3.580472171E-1,-2.630413294E0,9.478695869E0
1.297492640E-1,-3.866488338E-1,-2.658869505E0,9.454814911E0
1.321752530E-1,-3.867657781E-1,-2.687449455E0,9.416386604E0
1.346012430E-1,-3.821311295E-1,-2.716034174E0,9.373135567E0
1.370272320E-1,-3.868405819E-1,-2.729937792E0,9.301282883E0
1.394532220E-1,-3.772449791E-1,-2.729597330E0,9.238975525E0
1.418792120E-1,-3.392039835E-1,-2.720150471E0,9.219616890E0
1.443052010E-1,-3.439084589E-1,-2.701209068E0,9.267613411E0
1.467311910E-1,-3.343023956E-1,-2.663313389E0,9.339540482E0
1.491571800E-1,-3.010829687E-1,-2.649437428E0,9.382480621E0
1.515831700E-1,-3.009660244E-1,-2.620857716E0,9.420909882E0
1.540091590E-1,-2.677773535E-1,-2.611788034E0,9.463829041E0
1.564351490E-1,-2.677802444E-1,-2.607109070E0,9.483002663E0
1.588611390E-1,-2.676326036E-1,-2.573723793E0,9.521453857E0
1.612871280E-1,-2.913349867E-1,-2.568799496E0,9.531205177E0
1.637131180E-1,-3.340996206E-1,-2.582824945E0,9.521844864E0
1.661391070E-1,-4.005107582E-1,-2.587025166E0,9.507892609E0
1.685650970E-1,-4.337833226E-1,-2.596412659E0,9.512855530E0
1.709910870E-1,-4.670084417E-1,-2.600931644E0,9.508262634E0
1.734170760E-1,-4.718518555E-1,-2.629411459E0,9.460286140E0
1.758430660E-1,-4.717595875E-1,-2.629061699E0,9.407616615E0
1.782690550E-1,-4.432552159E-1,-2.633799791E0,9.364317894E0
1.806950450E-1,-4.385006726E-1,-2.638483286E0,9.340325356E0
1.831210340E-1,-4.052448869E-1,-2.629158974E0,9.344938278E0
1.855470240E-1,-4.004877210E-1,-2.624453306E0,9.354504585E0
1.879730140E-1,-3.863111436E-1,-2.620074511E0,9.402314186E0
1.903990030E-1,-3.625893891E-1,-2.615546703E0,9.416544914E0
1.928249930E-1,-3.626646399E-1,-2.629900217E0,9.406906128E0
1.952509820E-1,-3.627344072E-1,-2.639543295E0,9.411652565E0
1.976769720E-1,-3.722515106E-1,-2.644275904E0,9.411693573E0
2.001029620E-1,-3.770365119E-1,-2.658465624E0,9.382933617E0
2.025289510E-1,-3.818662763E-1,-2.668135881E0,9.397285461E0
2.049549410E-1,-3.866989315E-1,-2.673127890E0,9.430811882E0
2.073809300E-1,-3.962552249E-1,-2.682697773E0,9.435621262E0
2.098069200E-1,-3.915064633E-1,-2.678024292E0,9.449975014E0
2.122329090E-1,-4.058256149E-1,-2.682942867E0,9.483564377E0
2.146588990E-1,-4.246898890E-1,-2.668316603E0,9.474174500E0
2.170848890E-1,-4.057391286E-1,-2.673236370E0,9.469241142E0
2.195108780E-1,-4.056609869E-1,-2.663561583E0,9.459707260E0
2.219368680E-1,-4.151307046E-1,-2.663424969E0,9.450192451E0
2.243628570E-1,-4.009455144E-1,-2.673082113E0,9.440482140E0
2.267888470E-1,-4.103845954E-1,-2.668139935E0,9.430987358E0
2.292148370E-1,-4.056161344E-1,-2.668081045E0,9.416593552E0
2.316408260E-1,-4.103148580E-1,-2.658496618E0,9.426241875E0
2.340668160E-1,-3.959846497E-1,-2.644157171E0,9.421423912E0
2.365399930E-1,-3.721594810E-1,-2.629858971E0,9.411755562E0
2.389624930E-1,-3.531195819E-1,-2.615682840E0,9.426058769E0
2.413849930E-1,-3.389120996E-1,-2.620566130E0,9.421156883E0
2.438077010E-1,-3.387894034E-1,-2.601343632E0,9.421240807E0
2.462303570E-1,-3.388200700E-1,-2.606149197E0,9.421219826E0
2.486529090E-1,-4.671838582E-1,-2.643801212E0,9.450615883E0
2.510753570E-1,-7.665224671E-1,-2.723169565E0,9.447420120E0
2.534979620E-1,-6.524162292E-1,-2.694892406E0,9.398921967E0
2.559206180E-1,-5.096889138E-1,-2.628706455E0,9.398287773E0
2.583432220E-1,-3.907895684E-1,-2.572140217E0,9.426494598E0
2.607658260E-1,-3.051599860E-1,-2.529640436E0,9.440491676E0
2.631884300E-1,-2.434084415E-1,-2.511018991E0,9.459325790E0
2.656109820E-1,-2.482410669E-1,-2.516010523E0,9.492852211E0
2.680333260E-1,-2.721779346E-1,-2.540111303E0,9.531207085E0
2.704558780E-1,-2.579843104E-1,-2.549736500E0,9.516708374E0
2.728783260E-1,-2.769879997E-1,-2.554396391E0,9.516810417E0
2.753007740E-1,-2.865162194E-1,-2.568549633E0,9.488081932E0
