"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.678333834E-4,3.297642517E-1,1.165775757E0,9.739795990E0
1.083983341E-2,4.242178345E-1,1.195414124E0,1.008273285E1
2.081183344E-2,4.828958130E-1,1.222058716E0,9.934690704E0
3.078283346E-2,3.902384949E-1,1.180295563E0,9.779164124E0
4.075483349E-2,2.995271301E-1,1.113085327E0,9.679621124E0
5.072683352E-2,2.276765442E-1,1.077010345E0,9.674382019E0
6.069783354E-2,2.799179077E-1,1.061592407E0,9.752070465E0
7.066983334E-2,3.022215271E-1,1.078956299E0,9.798773346E0
8.064183337E-2,2.426454163E-1,1.135089569E0,9.861941986E0
9.061383340E-2,2.052232361E-1,1.238075409E0,9.823322296E0
1.005848334E-1,2.784210205E-1,1.330433350E0,9.761800232E0
1.105568334E-1,3.354524231E-1,1.374292145E0,9.787696381E0
1.205288335E-1,3.236270142E-1,1.399290161E0,9.838440857E0
1.304998335E-1,3.059637451E-1,1.432371368E0,9.814191284E0
1.404718335E-1,2.460882568E-1,1.463806000E0,9.737251282E0
1.504438333E-1,2.071691895E-1,1.415007477E0,9.759554901E0
1.604148333E-1,2.116598511E-1,1.267115021E0,9.811796265E0
1.703868334E-1,1.818717957E-1,1.195563812E0,9.806706848E0
1.803588334E-1,1.965412903E-1,1.235680389E0,9.805509338E0
1.903298334E-1,3.124003601E-1,1.319805450E0,9.848320312E0
2.003018335E-1,3.827540588E-1,1.396745453E0,9.907297668E0
2.102738335E-1,3.872447205E-1,1.491348724E0,9.853709106E0
2.202458335E-1,3.532653809E-1,1.576820984E0,9.765841827E0
2.302168335E-1,3.195854187E-1,1.576521606E0,9.778415680E0
2.401888333E-1,3.104544067E-1,1.515747986E0,9.800270233E0
2.501601251E-1,2.797682190E-1,1.455722809E0,9.756411438E0
2.601311251E-1,2.809657288E-1,1.355281677E0,9.727671204E0
2.701031251E-1,2.653981018E-1,1.244362335E0,9.681716766E0
2.800751252E-1,2.387535095E-1,1.136287079E0,9.643246765E0
2.900461252E-1,1.731898499E-1,1.070274353E0,9.593400421E0
