"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.129958331E-3,1.152603149E-2,-1.394649811E0,8.884175262E0,8.992983434E0
1.215495833E-2,-3.601510620E-1,-1.092128906E0,8.275840302E0,8.355356787E0
2.217995832E-2,-5.475613403E-1,-9.171427917E-1,8.222850494E0,8.291938529E0
3.220395834E-2,-4.114942932E-1,-8.973838806E-1,9.069639587E0,9.123211476E0
4.222895834E-2,-3.670367432E-1,-9.894424438E-1,1.013407608E1,1.018887679E1
5.225295832E-2,-4.197271729E-1,-1.146166534E0,1.068223618E1,1.075174583E1
6.227795835E-2,-4.390370178E-1,-1.296454010E0,1.068328400E1,1.077061296E1
7.230195834E-2,-3.938310242E-1,-1.343456268E0,1.036160294E1,1.045575406E1
8.232695833E-2,-3.616479492E-1,-1.326242065E0,1.001881577E1,1.011268395E1
9.235195833E-2,-3.478765869E-1,-1.286724243E0,9.720186768E0,9.811152236E0
1.023759583E-1,-3.658392334E-1,-1.249002686E0,9.459578705E0,9.548689718E0
1.124009583E-1,-3.709286499E-1,-1.215771790E0,9.410480804E0,9.495937978E0
1.224249583E-1,-3.700305176E-1,-1.217568054E0,9.623487854E0,9.707260841E0
1.324499583E-1,-3.722758484E-1,-1.238374786E0,9.913135529E0,9.997120457E0
1.424739583E-1,-3.902384949E-1,-1.254690857E0,1.010353958E1,1.018862343E1
1.524989583E-1,-4.123924255E-1,-1.259780273E0,1.015428406E1,1.024043937E1
1.625239583E-1,-4.053570557E-1,-1.243164825E0,1.004186783E1,1.012664222E1
1.725479583E-1,-3.986210632E-1,-1.213077393E0,9.839189301E0,9.921698524E0
1.825729583E-1,-3.969744873E-1,-1.170266418E0,9.697434082E0,9.775854950E0
1.925969583E-1,-3.992198181E-1,-1.147364044E0,9.686357117E0,9.762240261E0
2.026219583E-1,-3.751199341E-1,-1.147813110E0,9.796827393E0,9.870968385E0
2.126459583E-1,-3.640429688E-1,-1.157393188E0,9.913135529E0,9.987108805E0
2.226709583E-1,-3.667373657E-1,-1.185983734E0,9.997260590E0,1.007403956E1
2.326959583E-1,-3.766168213E-1,-1.211430817E0,9.991871796E0,1.007208553E1
2.427199583E-1,-4.038601685E-1,-1.226699066E0,9.927206268E0,1.001086000E1
2.527449583E-1,-4.140390015E-1,-1.229393463E0,9.850715332E0,9.935765151E0
2.627689583E-1,-4.248165894E-1,-1.246757355E0,9.811646576E0,9.899660679E0
2.727939583E-1,-4.207749939E-1,-1.248553619E0,9.799222412E0,9.887400954E0
2.828179583E-1,-4.068539429E-1,-1.244212646E0,9.822274475E0,9.909120602E0
2.928429583E-1,-3.987707520E-1,-1.235081635E0,9.843679962E0,9.928871031E0
3.028679583E-1,-3.990701294E-1,-1.228345642E0,9.859846344E0,9.944076624E0
3.128919583E-1,-4.061054993E-1,-1.212328949E0,9.851014709E0,9.933637499E0
3.229169583E-1,-4.083508301E-1,-1.205892334E0,9.853858795E0,9.935766698E0
3.329409583E-1,-4.179309082E-1,-1.202299805E0,9.845775604E0,9.927713146E0
3.429659583E-1,-4.189787292E-1,-1.207688599E0,9.856553192E0,9.939099343E0
3.529899583E-1,-4.334985352E-1,-1.209185486E0,9.881551208E0,9.964692911E0
3.630149583E-1,-4.251159668E-1,-1.210382996E0,9.883796539E0,9.966703799E0
3.730389583E-1,-4.129911804E-1,-1.200054474E0,9.873318329E0,9.954552088E0
3.830639583E-1,-3.999682617E-1,-1.193168793E0,9.855804749E0,9.935819726E0
3.930887083E-1,-3.820056152E-1,-1.176253967E0,9.839788055E0,9.917203772E0
4.031127083E-1,-3.703298950E-1,-1.179397430E0,9.850116577E0,9.927382289E0
4.131377083E-1,-3.679348755E-1,-1.194366302E0,9.870773621E0,9.949575810E0
4.231617083E-1,-3.619473267E-1,-1.197210388E0,9.890981598E0,9.969746012E0
4.331867083E-1,-3.685336304E-1,-1.185384979E0,9.911788330E0,9.989219313E0
4.432107083E-1,-3.803590393E-1,-1.182391205E0,9.920021210E0,9.997476820E0
4.532357083E-1,-3.911366272E-1,-1.161434784E0,9.918075256E0,9.993504661E0
4.632607083E-1,-3.945794678E-1,-1.159937897E0,9.900561676E0,9.976084923E0
4.732847083E-1,-3.947291565E-1,-1.165027313E0,9.859846344E0,9.936280475E0
